                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2157,                 5.1044,                  4.314,                0.00235,                0.63462,                0.00684,                0.00189,                 2.9845,                 4.1848,                 4.1558,                0.00048,                0.00048,                0.00048
                      2,                 3.0637,                 4.6743,                 4.1203,                0.00213,                0.59615,                0.00556,                0.00184,                 3.0036,                 3.9829,                 4.1678,             0.00088298,             0.00088298,             0.00088298
                      3,                 3.0755,                 4.4527,                  3.867,                0.00221,                0.59615,                0.00645,                0.00246,                 3.2055,                 3.9807,                  4.299,               0.001187,               0.001187,               0.001187
